vendorID,passengerCount,tripDistance,hour_of_day,day_of_week,day_of_month,month_num,normalizeHolidayName,isPaidTimeOff,snowDepth,precipTime,precipDepth,temperature,totalAmount
1,1,9.4,15,2,27,1,None,False,29.058823529411764,24.0,3.0,6.18571428571429,44.3
2,5,14.75,13,4,15,1,None,False,0.0,6.0,0.0,4.571929824561403,44.8
2,1,3.35,23,4,8,1,None,False,0.0,1.0,0.0,4.384090909090913,18.96
2,1,3.33,18,2,27,1,None,False,29.058823529411764,24.0,3.0,6.18571428571429,16.3
2,1,0.47,17,6,3,1,None,False,0.0,1.0,0.0,3.846428571428569,5.3
2,1,3.07,9,1,12,1,None,False,0.0,6.0,0.0,0.1594594594594597,16.3
2,1,0.92,23,4,22,1,None,False,0.0,1.0,0.0,-2.999107142857142,8.97
1,1,1.9,12,4,8,1,None,False,0.0,1.0,0.0,4.384090909090913,11.8
2,1,0.77,0,1,19,1,None,False,0.0,1.0,0.0,-5.393749999999998,7.3
2,1,2.35,2,6,10,1,None,False,0.0,24.0,254.0,10.943654822335034,14.16
1,1,8.3,18,3,21,1,None,False,0.0,1.0,0.0,-0.040000000000000036,34.3
2,2,4.28,18,0,18,1,"Martin Luther King, Jr. Day",True,3.0,24.0,13.0,-2.3351145038167944,18.96
2,1,10.77,2,2,27,1,None,False,29.058823529411764,24.0,3.0,6.18571428571429,31.3
2,1,1.75,17,3,14,1,None,False,0.0,6.0,0.0,-1.9500000000000008,14.3
2,1,3.75,2,4,1,1,New Year's Day,True,0.0,1.0,0.0,5.197345132743359,19.3
2,1,5.79,14,6,3,1,None,False,0.0,1.0,0.0,3.846428571428569,33.55
2,5,1.06,19,4,29,1,None,False,15.647058823529413,6.0,0.0,3.3651785714285696,8.3
1,1,5.7,11,2,13,1,None,False,0.0,6.0,0.0,-2.06875,29.1
2,1,3.26,10,3,14,1,None,False,0.0,6.0,0.0,-1.9500000000000008,23.34
2,1,2.68,20,2,13,1,None,False,0.0,6.0,0.0,-2.06875,10.3
2,1,8.46,1,6,17,1,None,False,3.0,24.0,13.0,2.4039473684210493,28.3
2,1,0.94,14,0,11,1,None,False,0.0,24.0,282.0,2.462499999999998,13.56
2,6,0.77,15,1,5,1,None,False,0.0,6.0,0.0,-7.20625,7.8
2,1,0.62,15,4,29,1,None,False,15.647058823529413,6.0,0.0,3.3651785714285696,7.25
2,1,2.15,11,3,7,1,None,False,0.0,6.0,0.0,3.180645161290322,22.56
2,1,1.98,10,2,20,1,None,False,0.0,1.0,0.0,-0.15357142857142847,12.36
2,1,1.05,13,6,10,1,None,False,0.0,24.0,254.0,10.943654822335034,6.8
2,1,0.8,9,4,22,1,None,False,0.0,1.0,0.0,-2.999107142857142,6.96
2,3,0.83,8,4,22,1,None,False,0.0,1.0,0.0,-2.999107142857142,6.3
1,1,1.2,11,0,18,1,"Martin Luther King, Jr. Day",True,3.0,24.0,13.0,-2.3351145038167944,9.35
2,1,1.56,15,2,20,1,None,False,0.0,1.0,0.0,-0.15357142857142847,8.3
2,1,0.83,2,4,22,1,None,False,0.0,1.0,0.0,-2.999107142857142,6.3
2,1,2.77,22,1,26,1,None,False,43.529411764705884,6.0,0.0,3.5794642857142853,12.8
2,1,0.53,4,4,1,1,New Year's Day,True,0.0,1.0,0.0,5.197345132743359,4.8
1,1,15.0,8,1,26,1,None,False,43.529411764705884,6.0,0.0,3.5794642857142853,52.55
2,1,0.56,3,4,1,1,New Year's Day,True,0.0,1.0,0.0,5.197345132743359,5.8
2,1,2.64,17,2,27,1,None,False,29.058823529411764,24.0,3.0,6.18571428571429,16.3
2,1,1.47,13,0,25,1,None,False,54.411764705882355,6.0,0.0,-0.3089285714285713,10.3
2,1,2.04,13,1,26,1,None,False,43.529411764705884,6.0,0.0,3.5794642857142853,16.3
2,1,1.42,2,6,17,1,None,False,3.0,24.0,13.0,2.4039473684210493,8.3
2,5,2.57,5,4,22,1,None,False,0.0,1.0,0.0,-2.999107142857142,11.3
2,1,1.63,20,0,25,1,None,False,54.411764705882355,6.0,0.0,-0.3089285714285713,11.3
2,1,1.77,21,4,29,1,None,False,15.647058823529413,6.0,0.0,3.3651785714285696,9.8
2,1,4.53,19,0,11,1,None,False,0.0,24.0,282.0,2.462499999999998,21.96
2,1,2.31,17,4,1,1,New Year's Day,True,0.0,1.0,0.0,5.197345132743359,10.3
1,1,3.9,17,5,30,1,None,False,12.722222222222221,6.0,0.0,0.6133928571428571,19.1
2,1,0.88,9,6,10,1,None,False,0.0,24.0,254.0,10.943654822335034,6.3
2,1,2.03,13,3,7,1,None,False,0.0,6.0,0.0,3.180645161290322,11.3
2,1,1.8,11,2,20,1,None,False,0.0,1.0,0.0,-0.15357142857142847,9.3
2,6,20.37,8,3,7,1,None,False,0.0,6.0,0.0,3.180645161290322,67.8
2,1,1.24,7,4,29,1,None,False,15.647058823529413,6.0,0.0,3.3651785714285696,8.8
2,1,1.35,18,0,25,1,None,False,54.411764705882355,6.0,0.0,-0.3089285714285713,10.56
1,1,6.2,22,5,16,1,None,False,0.0,24.0,102.0,7.808965517241381,3.8
